OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
2747,052-0027,0411-000,Patinoire avec bandes,Ahuntsic-Cartierville,Récréatif
2748,089-0014,1860-010,Volleyball de plage,Ahuntsic-Cartierville,Récréatif
2749,074-0025-76-S2,1083-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2750,003-0371,0363-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
2751,063-0008,9502-000,Quai,L'Île-Bizard-Sainte-Geneviève,Plein air
2752,004-0463,1102-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2753,003-0016,2807-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
2754,004-0199,2704-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2755,042-0031,2397-000,Jeux d'eau,Lachine,Récréatif
2756,003-0142,1090-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2757,005-0038,2858-000,Aire de jeu combiné,Saint-Léonard,Aire de jeu - enfant
2758,076-0065,1860-013,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2759,071-0013,9542-000,Sentier pédestre,Ahuntsic-Cartierville,Plein air
2760,071-0063,2701-000,Sentier pédestre,Pierrefonds-Roxboro,Plein air
2761,053-0027,0126-000,Patinoire sans bandes,Rosemont-La Petite-Patrie,Récréatif
2762,003-0107,0010-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2763,049-0003, ,Pastille - Basketball,Le Plateau-Mont-Royal,Récréatif
2764,071-0061,0109-000,Sentier pédestre,Mercier-Hochelaga-Maisonneuve,Plein air
2765,005-0005,1087-000,Aire de jeu combiné,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2766,016-0120,0704-000,Balle,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
